Unnamed: 0,Customer ID,Age,Gender,Income Level,Region,Purchase History,Last Purchase Date,Urban/Rural,Festival Engagement,Average Order Value (AOV),Customer Satisfaction (CSAT),description
0,7fdd0590-aec0-4be0-87b1-e0e72cb165b1,45,Female,Middle,Tamil Nadu,Home Decor,2024-08-25,Urban,Diwali,19661,3.6,Customer is 45 years old Female from Tamil NaduPurchases mostly include Home Decor and belongs to UrbanHas festival engagement of Diwali and has an Average order value of 19661
1,342991bb-012e-4865-b469-a81b1d52f27e,25,Male,Middle,Delhi,Clothing,2024-06-26,Urban,Eid,19333,4.1,Customer is 25 years old Male from DelhiPurchases mostly include Clothing and belongs to UrbanHas festival engagement of Eid and has an Average order value of 19333
2,962d347d-97a4-40bb-b28e-323ba02fd4aa,26,Female,High,Punjab,Clothing,2024-01-11,Urban,,5353,4.3,Customer is 26 years old Female from PunjabPurchases mostly include Clothing and belongs to UrbanHas festival engagement of nan and has an Average order value of 5353
3,f242f205-8948-4b2a-9b43-25475b2d33e7,59,Female,Low,Kerala,Clothing,2024-06-04,Urban,Eid,2760,4.9,Customer is 59 years old Female from KeralaPurchases mostly include Clothing and belongs to UrbanHas festival engagement of Eid and has an Average order value of 2760
4,5b877986-6dbb-41f6-a77f-12722f4311a2,39,Female,Low,Karnataka,Electronics,2024-05-21,Urban,Christmas,1358,3.6,Customer is 39 years old Female from KarnatakaPurchases mostly include Electronics and belongs to UrbanHas festival engagement of Christmas and has an Average order value of 1358
5,5543bf3d-2f4f-47f7-9c8e-9914c53a7fe6,40,Female,Middle,Delhi,Home Decor,2024-07-25,Rural,Eid,6090,4.8,Customer is 40 years old Female from DelhiPurchases mostly include Home Decor and belongs to RuralHas festival engagement of Eid and has an Average order value of 6090
6,3ad7bc86-ba60-4619-8e22-ef18cf388c6e,25,Female,Middle,Karnataka,Electronics,2024-01-20,Urban,Diwali,15480,4.5,Customer is 25 years old Female from KarnatakaPurchases mostly include Electronics and belongs to UrbanHas festival engagement of Diwali and has an Average order value of 15480
7,b66dfb14-0155-4a9a-b629-838da292d356,57,Female,Low,Karnataka,Groceries,2024-02-19,Urban,Diwali,5075,3.9,Customer is 57 years old Female from KarnatakaPurchases mostly include Groceries and belongs to UrbanHas festival engagement of Diwali and has an Average order value of 5075
8,b2f6c209-0279-49c5-b80c-3b17c551beac,34,Female,High,Punjab,Electronics,2024-04-26,Rural,Diwali,14646,3.6,Customer is 34 years old Female from PunjabPurchases mostly include Electronics and belongs to RuralHas festival engagement of Diwali and has an Average order value of 14646
9,544990dc-5ddc-409b-b18b-e84eb834db06,20,Female,Middle,Delhi,Home Decor,2024-03-17,Urban,Christmas,19299,3.4,Customer is 20 years old Female from DelhiPurchases mostly include Home Decor and belongs to UrbanHas festival engagement of Christmas and has an Average order value of 19299
10,b662294d-da31-4e36-9192-0b930a3137d9,23,Female,High,Punjab,Groceries,2024-03-22,Urban,Diwali,7171,3.6,Customer is 23 years old Female from PunjabPurchases mostly include Groceries and belongs to UrbanHas festival engagement of Diwali and has an Average order value of 7171
11,b3433733-8ccd-448c-8314-e5cc0fb55970,53,Female,Middle,Kerala,Clothing,2024-04-24,Urban,Eid,4764,3.7,Customer is 53 years old Female from KeralaPurchases mostly include Clothing and belongs to UrbanHas festival engagement of Eid and has an Average order value of 4764
12,26055f5d-1083-4d32-94ab-c1c9b898bf5d,20,Male,High,Karnataka,Groceries,2024-05-23,Urban,Diwali,7345,3.9,Customer is 20 years old Male from KarnatakaPurchases mostly include Groceries and belongs to UrbanHas festival engagement of Diwali and has an Average order value of 7345
13,000b55db-ac68-4f3c-b7e0-91e16c97ff08,45,Male,High,Maharashtra,Groceries,2024-08-17,Urban,Eid,6989,3.3,Customer is 45 years old Male from MaharashtraPurchases mostly include Groceries and belongs to UrbanHas festival engagement of Eid and has an Average order value of 6989
14,810ed214-27f2-4d4d-a156-2d06dfeeb286,64,Male,Middle,Tamil Nadu,Groceries,2023-11-21,Urban,Diwali,15891,3.3,Customer is 64 years old Male from Tamil NaduPurchases mostly include Groceries and belongs to UrbanHas festival engagement of Diwali and has an Average order value of 15891
